branch,variable,your_unit,leap_unit,status,branch_suggestion,consumer_fuel_hint,fuel_advice,proposed_factor,confidence_stars,conversion_source,conversion_caveat
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Biodiesel Production\Processes\CME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Biodiesel Production\Processes\POME Biodiesel,Capital Cost,USD/GJ,2020 USD/Gigajoules/Year,mismatch,,,,1.0,3,LEAP capital-cost convention: USD/(GJ/yr of capacity) stores the same numeric value as overnight USD per annual GJ produced.,"If your USD/GJ is amortised (LCOE-style) rather than overnight, divide by capital-recovery factor before using."
Transformation\Bioethanol Production\Processes\Sugarcane,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Cassava,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Molasses,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Corn Ethanol,Capital Cost,USD/GJ,2020 USD/Tonne Coal Equiv/Year,mismatch,,,,29.3076,4,"IEA: 1 TCE = 29.3076 GJ (7000 kcal/kg equivalent). USD/GJ × 29.3076 = USD/TCE; LEAP /Year denotes annual capacity, treated as identity.",Same overnight-vs-amortised caveat as USD/GJ → USD/(GJ/yr).
Transformation\Bioethanol Production\Processes\Cellulosic Rice Straw,Capital Cost,USD/GJ,,no_leap_unit,Transformation\Bioethanol Production\Processes\Corn Ethanol (path_fuzzy); Transformation\Bioethanol Production\Processes (path_fuzzy); Transformation\Bioethanol Production\Processes\Cassava (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Cassava,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Cellulosic Rice Straw,Variable OM Cost,USD/GJ,,no_leap_unit,Transformation\Bioethanol Production\Processes\Corn Ethanol (path_fuzzy); Transformation\Bioethanol Production\Processes (path_fuzzy); Transformation\Bioethanol Production\Processes\Cassava (path_fuzzy),,,,0,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Molasses,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane,Variable OM Cost,USD/GJ,2020 USD/Gigajoule,match,,,,,0,,
Resources\Secondary\Ethanol,Import Cost,2020 USD/Liter,2020 USD/Liter,match,,,,,0,,
Resources\Secondary\Biodiesel,Import Cost,2020 USD/Liter,2020 USD/Liter,match,,,,,0,,
Resources\Secondary\Methanol,Import Cost,2020 USD/Metric Tonne,2020 USD/Metric Tonne,match,,,,,0,,
Resources\Secondary\Biodiesel,CO2 biogenic,t/TJ,<no unit>,no_leap_unit,Resources\Secondary\Diesel (sibling); Resources\Secondary\Blended Diesel (sibling); Resources\Secondary\Renewable Diesel (sibling),Coconut Oil; Methanol; Palm Oil; Palm Oil Mill Effluent; Biodiesel,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,CO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,NH3 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,N2O (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,CH4 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,NOx (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,SO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Coconut Oil (same_leaf); Resources\Primary\Coconut Oil (same_leaf); Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil\Methane (path_fuzzy),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,CO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,NH3 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,N2O (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,CH4 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,NOx (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,NMVOC (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,SO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Sugarcane (same_leaf); Resources\Primary\Sugarcane (same_leaf); Transformation\Bioethanol Production\Processes\Sugarcane (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,CO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,NH3 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,N2O (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,CH4 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,NOx (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,NMVOC (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,SO2 (process),kg/TJ,<no unit>,no_leap_unit,Demand\Non Energy Biomass\Cassava (same_leaf); Resources\Primary\Cassava (same_leaf); Transformation\Bioethanol Production\Processes\Cassava (same_leaf),,,,0,,
Resources\Primary\Palm Oil,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Palm Oil,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Coconut Oil,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Coconut Oil,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Sugarcane,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Sugarcane,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Cassava,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Cassava,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Corn,Area Harvested,Thousand ha,Thousand ha,match,,,,,0,,
Resources\Primary\Corn,Crop Yield,t/ha,t/ha,match,,,,,0,,
Resources\Primary\Arable,Maximum Production,Thousand ha,Thousand Gigajoule,mismatch,,,,,0,(no proposal in registry — add to nemo_read.unit_conversions or supply manual override),
Resources\Primary\Perennial,Maximum Production,Thousand ha,Cubic Meter,mismatch,,,,,0,(no proposal in registry — add to nemo_read.unit_conversions or supply manual override),
Transformation\Palm Oil Cultivation\Auxiliary Fuels\Perennial,Process Auxiliary Fuel Use,ha/Tonne,,no_leap_unit,Resources\Primary\Perennial (same_leaf); Transformation\Coconut Cultivation\Processes\Coconut Cultivation\Auxiliary Fuels\Perennial (same_leaf); Transformation\Coconut Cultivation\Processes\Coconut Cultivation\Feedstock Fuels\Perennial (same_leaf),,,,0,,
Transformation\Coconut Cultivation\Auxiliary Fuels\Perennial,Process Auxiliary Fuel Use,ha/Tonne,,no_leap_unit,Resources\Primary\Perennial (same_leaf); Transformation\Coconut Cultivation\Processes\Coconut Cultivation\Auxiliary Fuels\Perennial (same_leaf); Transformation\Coconut Cultivation\Processes\Coconut Cultivation\Feedstock Fuels\Perennial (same_leaf),,,,0,,
Transformation\Sugarcane Cultivation\Auxiliary Fuels\Arable,Process Auxiliary Fuel Use,ha/Tonne,,no_leap_unit,Resources\Primary\Arable (same_leaf); Transformation\Cassava Cultivation\Processes\Cassava Cultivation\Auxiliary Fuels\Arable (same_leaf); Transformation\Cassava Cultivation\Processes\Cassava Cultivation\Feedstock Fuels\Arable (same_leaf),,,,0,,
Transformation\Cassava Cultivation\Auxiliary Fuels\Arable,Process Auxiliary Fuel Use,ha/Tonne,,no_leap_unit,Resources\Primary\Arable (same_leaf); Transformation\Cassava Cultivation\Processes\Cassava Cultivation\Auxiliary Fuels\Arable (same_leaf); Transformation\Cassava Cultivation\Processes\Cassava Cultivation\Feedstock Fuels\Arable (same_leaf),,,,0,,
Transformation\Corn Cultivation\Auxiliary Fuels\Arable,Process Auxiliary Fuel Use,ha/Tonne,,no_leap_unit,Resources\Primary\Arable (same_leaf); Transformation\Cassava Cultivation\Processes\Cassava Cultivation\Auxiliary Fuels\Arable (same_leaf); Transformation\Cassava Cultivation\Processes\Cassava Cultivation\Feedstock Fuels\Arable (same_leaf),,,,0,,
Transformation\Cassava Cultivation,Variable OM Cost,USD/t fresh root,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Cassava Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Coconut Cultivation,Variable OM Cost,USD/t nuts-in-shell,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Corn Cultivation,Variable OM Cost,USD/t grain,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Palm Oil Cultivation,Variable OM Cost,USD/t FFB,<no unit>,no_leap_unit,Transformation\Palm Oil Cultivation\Processes\Palm Oil Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Sugarcane Cultivation,Variable OM Cost,USD/t cane,<no unit>,no_leap_unit,Transformation\Sugarcane Cultivation\Processes\Sugarcane Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling),,,,0,,
Transformation\Palm Oil Cultivation,Maximum Capacity,Tonne,<no unit>,no_leap_unit,Transformation\Palm Oil Cultivation\Processes\Palm Oil Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Coconut Cultivation,Maximum Capacity,Tonne,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Sugarcane Cultivation,Maximum Capacity,Tonne,<no unit>,no_leap_unit,Transformation\Sugarcane Cultivation\Processes\Sugarcane Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling),,,,0,,
Transformation\Cassava Cultivation,Maximum Capacity,Tonne,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Cassava Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Corn Cultivation,Maximum Capacity,Tonne,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Corn Cultivation,Co-product Credit (audit),USD/t grain,<no unit>,no_leap_unit,Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling); Transformation\Crop Cultivation_ (sibling),,,,0,,
Transformation\Sugarcane Cultivation,Co-product Credit (audit),USD/t cane,<no unit>,no_leap_unit,Transformation\Sugarcane Cultivation\Processes\Sugarcane Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Corn Cultivation (sibling); Transformation\Crop Cultivation_\Processes\Coconut Cultivation (sibling),,,,0,,
Resources\Primary\Cassava,Import Cost,USD/t fresh root,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of cassava fresh root is one tonne — commodity tag is descriptive only.,
Resources\Primary\Coconut Oil,Import Cost,USD/t nuts-in-shell,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of coconut nuts-in-shell is one tonne — commodity tag is descriptive only.,
Resources\Primary\Corn,Import Cost,USD/t grain,2020 USD/Tonnes of Coal Equivalent,mismatch,,,,2.0074,3,Corn (maize) grain LHV 14.6 GJ/t (IPCC 2019 Refinement Vol.2 Ch.1 Table 1.2 default for cereals); 29.3076/14.6 = 2.0074. Used for both Import Cost and Fuel Cost variables.,"±10% with moisture content; field-dry corn ≈ 14.6, post-harvest at 15% MC ≈ 13.6 GJ/t."
Resources\Primary\Palm Oil,Import Cost,USD/t FFB,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of palm FFB is one tonne — commodity tag is descriptive only.,
Resources\Primary\Sugarcane,Import Cost,USD/t cane,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of sugarcane is one tonne — commodity tag is descriptive only.,
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil,Fuel Cost,USD/t FFB,U.S. Dollar/Gigajoule,mismatch,,,,0.16666666666666666,2,"Palm Fresh Fruit Bunches (FFB) LHV ≈ 6 GJ/t wet basis (MPOB, IRENA palm-biomass series).",±20% with ripeness and moisture (refined palm oil = 37 GJ/t; do not confuse).
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,Fuel Cost,USD/t nuts-in-shell,U.S. Dollar/Gigajoule,mismatch,,,,0.07407407407407407,2,Coconut nuts-in-shell LHV ≈ 13.5 GJ/t (FAO Coconut Statistical Compendium; shell + copra weighted).,±20% across mature/young nuts and copra:shell ratio.
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,Fuel Cost,USD/t cane,U.S. Dollar/Gigajoule,mismatch,,,,0.13333333333333333,2,"Sugarcane (raw, wet, including bagasse mass) LHV ≈ 7.5 GJ/t (FAO Sugar Statistical Yearbook; bagasse 18 GJ/t × 30% mass + sugar 16 GJ/t × 12% mass + water).",±25% — refined sugar removed before energy use.
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,Fuel Cost,USD/t fresh root,U.S. Dollar/Gigajoule,mismatch,,,,0.2857142857142857,2,Cassava fresh root LHV ≈ 3.5 GJ/t wet basis (IRENA starch-crop biomass series; high moisture).,±25% with moisture; dry chips ≈ 14 GJ/t.
Transformation\Bioethanol Production\Processes\Corn Ethanol\Feedstock Fuels\Corn,Fuel Cost,USD/t grain,U.S. Dollar/Tonnes of Coal Equivalent,mismatch,,,,2.0074,3,Corn (maize) grain LHV 14.6 GJ/t (IPCC 2019 Refinement Vol.2 Ch.1 Table 1.2 default for cereals); 29.3076/14.6 = 2.0074. Used for both Import Cost and Fuel Cost variables.,"±10% with moisture content; field-dry corn ≈ 14.6, post-harvest at 15% MC ≈ 13.6 GJ/t."
Resources\Primary\Palm Oil Mill Effluent,Maximum Production,Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Palm Oil Mill Effluent,Production Cost,USD/t POME oil,2020 USD/Tonnes of Oil Equivalent,mismatch,,,,,0,(no proposal in registry — add to nemo_read.unit_conversions or supply manual override),
Resources\Primary\Molasses,Maximum Production,Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Molasses,Production Cost,USD/t molasses,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of molasses is one tonne — commodity tag is descriptive only.,
Resources\Primary\Rice Straw,Maximum Production,Tonne,,no_leap_unit,Resources\Primary\Corn (path_fuzzy); Resources\Primary\Nuclear (path_fuzzy); Resources\Primary\Geothermal (path_fuzzy),,,,0,,
Resources\Primary\Rice Straw,Production Cost,USD/t rice straw dry,,no_leap_unit,Resources\Primary\Corn (path_fuzzy); Resources\Primary\Nuclear (path_fuzzy); Resources\Primary\Geothermal (path_fuzzy),,,,0,,
Resources\Primary\Used Cooking Oil,Maximum Production,Tonne,,no_leap_unit,Resources\Primary\Coconut Oil (sibling); Resources\Primary\Crude Oil (path_fuzzy); Resources\Primary\Corn (path_fuzzy),,,,0,,
Resources\Primary\Used Cooking Oil,Production Cost,USD/t UCO,,no_leap_unit,Resources\Primary\Coconut Oil (sibling); Resources\Primary\Crude Oil (path_fuzzy); Resources\Primary\Corn (path_fuzzy),,,,0,,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,Million Tonnes/yr,Million Gigajoules/Year,mismatch,,,,37.0,4,Biodiesel (FAME) LHV 37 GJ/t (IPCC 2006 Vol.2 Ch.1 Table 1.2 default for biodiesels).,±5% across FAME / CME / POME-biodiesel grades.
Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Bioethanol Production\Processes\Cellulosic Rice Straw,Maximum Capacity,Million Tonnes/yr,,no_leap_unit,Transformation\Bioethanol Production\Processes\Corn Ethanol (path_fuzzy); Transformation\Bioethanol Production\Processes (path_fuzzy); Transformation\Bioethanol Production\Processes\Cassava (path_fuzzy),,,,0,,
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,Million Tonnes/yr,Million Gigajoules/Year,mismatch,,,,37.0,4,Biodiesel (FAME) LHV 37 GJ/t (IPCC 2006 Vol.2 Ch.1 Table 1.2 default for biodiesels).,±5% across FAME / CME / POME-biodiesel grades.
Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity,Million Tonnes/yr,Million Gigajoules/Year,mismatch,,,,37.0,4,Biodiesel (FAME) LHV 37 GJ/t (IPCC 2006 Vol.2 Ch.1 Table 1.2 default for biodiesels).,±5% across FAME / CME / POME-biodiesel grades.
Transformation\Bioethanol Production\Processes\Sugarcane,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
